"","ID","life_satis"
"102","194037201001","3 Somewhat satisfied"
"103","194037219001","3 Somewhat satisfied"
"104","194037219002","3 Somewhat satisfied"
"105","194037214002","3 Somewhat satisfied"
"106","194037214001",NA
"107","194037206002","3 Somewhat satisfied"
"108","194037206001","3 Somewhat satisfied"
"109","194037204001","3 Somewhat satisfied"
"110","194037204002",NA
"111","194037220001","2 Very satisfied"
"112","194037220002",NA
"113","194037211002",NA
"114","194037211001","3 Somewhat satisfied"
"115","194037212002",NA
"116","194037212001","3 Somewhat satisfied"
"117","194037333002","2 Very satisfied"
"118","194037333001","2 Very satisfied"
"119","194037342002","2 Very satisfied"
"120","194037301002","2 Very satisfied"
"121","194037301001","3 Somewhat satisfied"
"122","194037320001","2 Very satisfied"
"123","194037311002","3 Somewhat satisfied"
"124","194037311001","2 Very satisfied"
"125","194037310001","2 Very satisfied"
"126","194037310002","3 Somewhat satisfied"
"127","194037329001","2 Very satisfied"
"128","194037316001","3 Somewhat satisfied"
"129","194037316002","2 Very satisfied"
"130","194037314001","2 Very satisfied"
"131","194037314002","3 Somewhat satisfied"
"132","194037323001",NA
"133","194037321002","1 Completely satisfied"
"134","194037321001","1 Completely satisfied"
"135","194037306001","3 Somewhat satisfied"
"136","194037306002","3 Somewhat satisfied"
"137","194037325002",NA
"138","194037325001","3 Somewhat satisfied"
"139","194037308001","3 Somewhat satisfied"
"140","194037307001","3 Somewhat satisfied"
"141","194037307002","4 Not very satisfied"
"142","194037340001","3 Somewhat satisfied"
"143","194037326002",NA
"144","194037328001","2 Very satisfied"
"145","194037324001","3 Somewhat satisfied"
"146","194037324002","1 Completely satisfied"
"147","194037302002",NA
"148","194037302001",NA
"149","194037304001","3 Somewhat satisfied"
"150","194037304002","3 Somewhat satisfied"
"151","194037335002","2 Very satisfied"
"152","194037335001","3 Somewhat satisfied"
"153","194037327002","3 Somewhat satisfied"
"154","194037327001","1 Completely satisfied"
"155","194037330002","3 Somewhat satisfied"
"156","194037330001","3 Somewhat satisfied"
"157","194037336001","2 Very satisfied"
"158","194037336002","2 Very satisfied"
"159","194037338001","4 Not very satisfied"
"160","194037338002","3 Somewhat satisfied"
"161","194037334001","3 Somewhat satisfied"
"162","194037334002","3 Somewhat satisfied"
"163","194037303001",NA
"164","194037331001",NA
"165","194037312001","2 Very satisfied"
"166","194037305001","3 Somewhat satisfied"
"167","064028306002","3 Somewhat satisfied"
"168","064028306001",NA
"169","064028313002","3 Somewhat satisfied"
"170","064028316002","1 Completely satisfied"
"171","064028316001",NA
"172","064028307001","3 Somewhat satisfied"
"173","064028315002","3 Somewhat satisfied"
"174","064028315001","3 Somewhat satisfied"
"175","064028314002",NA
"176","064028314001","3 Somewhat satisfied"
"177","064028311001","3 Somewhat satisfied"
"178","064028311002",NA
"179","064028310001","2 Very satisfied"
"180","064028308002","3 Somewhat satisfied"
"181","064028308001","4 Not very satisfied"
"182","064028305001","3 Somewhat satisfied"
"183","064028304001","3 Somewhat satisfied"
"184","064028304002","4 Not very satisfied"
"185","064028301001","2 Very satisfied"
"186","064028106001","3 Somewhat satisfied"
"187","064028101002","3 Somewhat satisfied"
"188","064028101001",NA
"189","064028108002","3 Somewhat satisfied"
"190","064028102001","3 Somewhat satisfied"
"191","064028121002",NA
"192","064028110003","4 Not very satisfied"
"193","064028110002",NA
"194","064028103002","3 Somewhat satisfied"
"195","064028103001","3 Somewhat satisfied"
"196","064028115002",NA
"197","064028115001",NA
"198","064028118002",NA
"199","064028118001",NA
"200","064028114002","3 Somewhat satisfied"
"201","064028114001",NA
"202","064028104001","3 Somewhat satisfied"
"203","064028104002","3 Somewhat satisfied"
"204","064028119001","4 Not very satisfied"
"205","064028113002","3 Somewhat satisfied"
"206","064028113001",NA
"207","064028218002","3 Somewhat satisfied"
"208","064028218001","3 Somewhat satisfied"
"209","064028207002","3 Somewhat satisfied"
"210","064028207001",NA
"211","064028217001","3 Somewhat satisfied"
"212","064028217002",NA
"213","064028222002","3 Somewhat satisfied"
"214","064028223001","2 Very satisfied"
"215","064028223002",NA
"216","064028203001","3 Somewhat satisfied"
"217","064028203002","3 Somewhat satisfied"
"218","064028221001","3 Somewhat satisfied"
"219","064028221002",NA
"220","064028220001","4 Not very satisfied"
"221","064028210001","3 Somewhat satisfied"
"222","064028210002","4 Not very satisfied"
"223","064028206001","3 Somewhat satisfied"
"224","064028216001","3 Somewhat satisfied"
"225","064028209001","3 Somewhat satisfied"
"226","064028209002","4 Not very satisfied"
"227","064028219002","3 Somewhat satisfied"
"228","064028219001","1 Completely satisfied"
"229","064028211001","3 Somewhat satisfied"
"230","064028201001","3 Somewhat satisfied"
"231","064028214001","3 Somewhat satisfied"
"232","064028202001","3 Somewhat satisfied"
"233","064033321001","3 Somewhat satisfied"
"234","064033321002","3 Somewhat satisfied"
"235","064033327001","3 Somewhat satisfied"
"236","064033327002","3 Somewhat satisfied"
"237","064033325001","4 Not very satisfied"
"238","064033325002","3 Somewhat satisfied"
"239","064033322001","3 Somewhat satisfied"
"240","064033322002","4 Not very satisfied"
"241","064033330002","3 Somewhat satisfied"
"242","064033330001","3 Somewhat satisfied"
"243","064033341001","3 Somewhat satisfied"
"244","064033341002","3 Somewhat satisfied"
"245","064033324002","2 Very satisfied"
"246","064033324001","5 Not at all satisfied"
"247","064033306002","3 Somewhat satisfied"
"248","064033306001","2 Very satisfied"
"249","064033301002","2 Very satisfied"
"250","064033301001","3 Somewhat satisfied"
"251","064033331002","4 Not very satisfied"
"252","064033331001","4 Not very satisfied"
"253","064033303001","3 Somewhat satisfied"
"254","064033340001","3 Somewhat satisfied"
"255","064033340002","2 Very satisfied"
"256","064033336001","4 Not very satisfied"
"257","064033304002","3 Somewhat satisfied"
"258","064033304001","3 Somewhat satisfied"
"259","064033337001",NA
"260","064033326001","3 Somewhat satisfied"
"261","064033326002","3 Somewhat satisfied"
"262","064033320001","5 Not at all satisfied"
"263","064033308001","3 Somewhat satisfied"
"264","064033334001","3 Somewhat satisfied"
"265","064033319002","2 Very satisfied"
"266","064033319001","2 Very satisfied"
"267","064033313002","2 Very satisfied"
"268","064033313001","3 Somewhat satisfied"
"269","064033316002","4 Not very satisfied"
"270","064033335002","2 Very satisfied"
"271","064033335001","2 Very satisfied"
"272","064033314002","2 Very satisfied"
"273","064033314001","2 Very satisfied"
"274","064033315001","3 Somewhat satisfied"
"275","064033318002","3 Somewhat satisfied"
"276","064033328001","3 Somewhat satisfied"
"277","064033328002","3 Somewhat satisfied"
"278","064033338002","4 Not very satisfied"
"279","064033317001","3 Somewhat satisfied"
"280","064033323001","3 Somewhat satisfied"
"281","064033339001","1 Completely satisfied"
"282","064033302001","1 Completely satisfied"
"283","064033302002","2 Very satisfied"
"284","064033309001","3 Somewhat satisfied"
"285","064033309002","1 Completely satisfied"
"286","064033329002","3 Somewhat satisfied"
"287","064033329001","3 Somewhat satisfied"
"288","064033312001","3 Somewhat satisfied"
"289","064033312002","2 Very satisfied"
"290","064033311001","3 Somewhat satisfied"
"291","064033332001","3 Somewhat satisfied"
"292","064033310001","3 Somewhat satisfied"
"293","064033310002","4 Not very satisfied"
"294","064033221001","3 Somewhat satisfied"
"295","064033221002","3 Somewhat satisfied"
"296","064033207001","4 Not very satisfied"
"297","064033207002","3 Somewhat satisfied"
"298","064033223002","3 Somewhat satisfied"
"299","064033223001","2 Very satisfied"
"300","064033212001","3 Somewhat satisfied"
"301","064033212002","3 Somewhat satisfied"
"302","064033219001","3 Somewhat satisfied"
"303","064033219002","4 Not very satisfied"
"304","064033215001","4 Not very satisfied"
"305","064033225001","3 Somewhat satisfied"
"306","064033213002","3 Somewhat satisfied"
"307","064033213001","3 Somewhat satisfied"
"308","064033232001","3 Somewhat satisfied"
"309","064033232002","3 Somewhat satisfied"
"310","064033201002","3 Somewhat satisfied"
"311","064033201001","3 Somewhat satisfied"
"312","064033208002","3 Somewhat satisfied"
"313","064033208001","3 Somewhat satisfied"
"314","064033230001","3 Somewhat satisfied"
"315","064033203001","4 Not very satisfied"
"316","064033209002","3 Somewhat satisfied"
"317","064033209001","3 Somewhat satisfied"
"318","064033206001",NA
"319","064033226001","2 Very satisfied"
"320","064033226002","3 Somewhat satisfied"
"321","064033220002","3 Somewhat satisfied"
"322","064033220001","3 Somewhat satisfied"
"323","064033210002","3 Somewhat satisfied"
"324","064033210001","3 Somewhat satisfied"
"325","064033228001","3 Somewhat satisfied"
"326","064033228002","2 Very satisfied"
"327","064033217002","3 Somewhat satisfied"
"328","064033217001","3 Somewhat satisfied"
"329","064033231001","3 Somewhat satisfied"
"330","064033231002","3 Somewhat satisfied"
"331","064033211001","3 Somewhat satisfied"
"332","064033211002","2 Very satisfied"
"333","064033224001","3 Somewhat satisfied"
"334","064033224002","3 Somewhat satisfied"
"335","064033227001",NA
"336","064033216002","4 Not very satisfied"
"337","064033216001","3 Somewhat satisfied"
"338","064033229001","3 Somewhat satisfied"
"339","064033229002",NA
"340","064033202001",NA
"341","064033218001","3 Somewhat satisfied"
"342","064033218002","3 Somewhat satisfied"
"343","064033222001","3 Somewhat satisfied"
"344","064033222002","3 Somewhat satisfied"
"345","064033204002","3 Somewhat satisfied"
"346","064033204001","2 Very satisfied"
"347","064033103001","3 Somewhat satisfied"
"348","064033121001","1 Completely satisfied"
"349","064033110001","3 Somewhat satisfied"
"350","064033127002","3 Somewhat satisfied"
"351","064033127001","2 Very satisfied"
"352","064033120001","3 Somewhat satisfied"
"353","064033120002","3 Somewhat satisfied"
"354","064033123002","3 Somewhat satisfied"
"355","064033123001","4 Not very satisfied"
"356","064033130002",NA
"357","064033130001","3 Somewhat satisfied"
"358","064033119002","3 Somewhat satisfied"
"359","064033119001","3 Somewhat satisfied"
"360","064033128001","3 Somewhat satisfied"
"361","064033117002","2 Very satisfied"
"362","064033117001","3 Somewhat satisfied"
"363","064033106001","3 Somewhat satisfied"
"364","064033106002","3 Somewhat satisfied"
"365","064033116001","3 Somewhat satisfied"
"366","064033116002","2 Very satisfied"
"367","064033101001",NA
"368","064033124001","3 Somewhat satisfied"
"369","064033124002","3 Somewhat satisfied"
"370","064033129001","3 Somewhat satisfied"
"371","064033102002","3 Somewhat satisfied"
"372","064033102001","3 Somewhat satisfied"
"373","064033111002","4 Not very satisfied"
"374","064033111001","3 Somewhat satisfied"
"375","064033125001",NA
"376","064033125002","3 Somewhat satisfied"
"377","064033126002","3 Somewhat satisfied"
"378","064033126001","1 Completely satisfied"
"379","064033114002","2 Very satisfied"
"380","064033114001","3 Somewhat satisfied"
"381","064033113001","3 Somewhat satisfied"
"382","064033113002","3 Somewhat satisfied"
"383","064033118001","2 Very satisfied"
"384","064033112002","3 Somewhat satisfied"
"385","064033112001","2 Very satisfied"
"386","064033131001","3 Somewhat satisfied"
"387","064033131002","3 Somewhat satisfied"
"388","064033115002","2 Very satisfied"
"389","064033115001","3 Somewhat satisfied"
"390","064033104001","2 Very satisfied"
"391","064033104002","4 Not very satisfied"
"392","064033105001",NA
"393","064033105002","3 Somewhat satisfied"
"394","064033107002","3 Somewhat satisfied"
"395","064033107001","4 Not very satisfied"
"396","060481308001","3 Somewhat satisfied"
"397","060481308002","3 Somewhat satisfied"
"398","060481310002","2 Very satisfied"
"399","060481310001","3 Somewhat satisfied"
"400","060481301002","3 Somewhat satisfied"
"401","060481301001","3 Somewhat satisfied"
"402","060481312001","3 Somewhat satisfied"
"403","060481312002","2 Very satisfied"
"404","060481322002","3 Somewhat satisfied"
"405","060481322001","3 Somewhat satisfied"
"406","060481303002",NA
"407","060481303001","2 Very satisfied"
"408","060481325001","3 Somewhat satisfied"
"409","060481309003","3 Somewhat satisfied"
"410","060481309002","2 Very satisfied"
"411","060481306001","3 Somewhat satisfied"
"412","060481306002","3 Somewhat satisfied"
"413","060481307002","2 Very satisfied"
"414","060481307001","2 Very satisfied"
"415","060481315001","3 Somewhat satisfied"
"416","060481320002","3 Somewhat satisfied"
"417","060481302001","3 Somewhat satisfied"
"418","060481314001","3 Somewhat satisfied"
"419","060481313001","3 Somewhat satisfied"
"420","060481313002","3 Somewhat satisfied"
"421","060481316002","2 Very satisfied"
"422","060481316001","3 Somewhat satisfied"
"423","060481318001","3 Somewhat satisfied"
"424","060481323001","1 Completely satisfied"
"425","060481317002",NA
"426","060481317001","3 Somewhat satisfied"
"427","060481321001","3 Somewhat satisfied"
"428","060481321002","3 Somewhat satisfied"
"429","060481305001","2 Very satisfied"
"430","060481305002","2 Very satisfied"
"431","060481304001","3 Somewhat satisfied"
"432","060481304002","3 Somewhat satisfied"
"433","060481319001","2 Very satisfied"
"434","060481319002","2 Very satisfied"
"435","060481311001","3 Somewhat satisfied"
"436","060481311002","3 Somewhat satisfied"
"437","060481324002","3 Somewhat satisfied"
"438","060481324001","3 Somewhat satisfied"
"439","060481132002","3 Somewhat satisfied"
"440","060481132001","3 Somewhat satisfied"
"441","060481102001","3 Somewhat satisfied"
"442","060481102002","3 Somewhat satisfied"
"443","060481136001",NA
"444","060481118001","4 Not very satisfied"
"445","060481109002","3 Somewhat satisfied"
"446","060481109001","4 Not very satisfied"
"447","060481111002","2 Very satisfied"
"448","060481111001","3 Somewhat satisfied"
"449","060481101002","3 Somewhat satisfied"
"450","060481101001","3 Somewhat satisfied"
"451","060481125002","3 Somewhat satisfied"
"452","060481125001","3 Somewhat satisfied"
"453","060481107001",NA
"454","060481107002","4 Not very satisfied"
"455","060481114002","4 Not very satisfied"
"456","060481114001","4 Not very satisfied"
"457","060481128002","3 Somewhat satisfied"
"458","060481128001","3 Somewhat satisfied"
"459","060481104002","3 Somewhat satisfied"
"460","060481104001","3 Somewhat satisfied"
"461","060481108001","2 Very satisfied"
"462","060481123001","4 Not very satisfied"
"463","060481124001","4 Not very satisfied"
"464","060481124002","4 Not very satisfied"
"465","060481120001","3 Somewhat satisfied"
"466","060481112001","3 Somewhat satisfied"
"467","060481112002","2 Very satisfied"
"468","060481133002","3 Somewhat satisfied"
"469","060481133001","3 Somewhat satisfied"
"470","060481110001","3 Somewhat satisfied"
"471","060481110002","3 Somewhat satisfied"
"472","060481122002","3 Somewhat satisfied"
"473","060481122001","3 Somewhat satisfied"
"474","060481119001","3 Somewhat satisfied"
"475","060481119002","2 Very satisfied"
"476","060481130002","3 Somewhat satisfied"
"477","060481130001","3 Somewhat satisfied"
"478","060481106001",NA
"479","060481106002","3 Somewhat satisfied"
"480","060481127001","2 Very satisfied"
"481","060481127002","4 Not very satisfied"
"482","060481117001",NA
"483","060481117002","5 Not at all satisfied"
"484","060481139001","2 Very satisfied"
"485","060481139002",NA
"486","060481129001","3 Somewhat satisfied"
"487","060481121001","3 Somewhat satisfied"
"488","060481126002","2 Very satisfied"
"489","060481126001","2 Very satisfied"
"490","060481135002","4 Not very satisfied"
"491","060481135001","4 Not very satisfied"
"492","060481138001","1 Completely satisfied"
"493","060481134001",NA
"494","060481134002","4 Not very satisfied"
"495","060481131002","2 Very satisfied"
"496","060481131001","3 Somewhat satisfied"
"497","060481115001","5 Not at all satisfied"
"498","060481113002","2 Very satisfied"
"499","060481113001","3 Somewhat satisfied"
"500","060481103001",NA
"501","060481116001","2 Very satisfied"
"502","060481116002","3 Somewhat satisfied"
"503","060481208001","3 Somewhat satisfied"
"504","060481208002",NA
"505","060481230001","3 Somewhat satisfied"
"506","060481230002","2 Very satisfied"
"507","060481219001","3 Somewhat satisfied"
"508","060481219002","3 Somewhat satisfied"
"509","060481236002","3 Somewhat satisfied"
"510","060481236001","2 Very satisfied"
"511","060481238001","2 Very satisfied"
"512","060481223002","3 Somewhat satisfied"
"513","060481223001","3 Somewhat satisfied"
"514","060481220001","2 Very satisfied"
"515","060481217002","3 Somewhat satisfied"
"516","060481217001","3 Somewhat satisfied"
"517","060481212002","3 Somewhat satisfied"
"518","060481212001","3 Somewhat satisfied"
"519","060481218001",NA
"520","060481218002","3 Somewhat satisfied"
"521","060481234001","2 Very satisfied"
"522","060481234002","3 Somewhat satisfied"
"523","060481205002","3 Somewhat satisfied"
"524","060481205001","3 Somewhat satisfied"
"525","060481224001","3 Somewhat satisfied"
"526","060481224002","2 Very satisfied"
"527","060481207001","3 Somewhat satisfied"
"528","060481207002","2 Very satisfied"
"529","060481228001",NA
"530","060481239002","3 Somewhat satisfied"
"531","060481239001","3 Somewhat satisfied"
"532","060481222002","2 Very satisfied"
"533","060481222001","3 Somewhat satisfied"
"534","060481231001","3 Somewhat satisfied"
"535","060481226001","3 Somewhat satisfied"
"536","060481226002","2 Very satisfied"
"537","060481211002","3 Somewhat satisfied"
"538","060481211001","3 Somewhat satisfied"
"539","060481213001","4 Not very satisfied"
"540","060481203001","3 Somewhat satisfied"
"541","060481203002","3 Somewhat satisfied"
"542","060481201001","4 Not very satisfied"
"543","060481201002","5 Not at all satisfied"
"544","060481232001","3 Somewhat satisfied"
"545","060481232002","3 Somewhat satisfied"
"546","060481209001","2 Very satisfied"
"547","060481233002","3 Somewhat satisfied"
"548","060481233001","3 Somewhat satisfied"
"549","060481216001","3 Somewhat satisfied"
"550","060481216002","3 Somewhat satisfied"
"551","060481221001","3 Somewhat satisfied"
"552","060481221002","2 Very satisfied"
"553","060481227001","2 Very satisfied"
"554","060481237001","2 Very satisfied"
"555","060481237002","3 Somewhat satisfied"
"556","060481235002","2 Very satisfied"
"557","060481235001","3 Somewhat satisfied"
"558","060481210002","3 Somewhat satisfied"
"559","060481210001",NA
"560","060481202001","3 Somewhat satisfied"
"561","060481202002","2 Very satisfied"
"562","060481214001","3 Somewhat satisfied"
"563","060481206002","3 Somewhat satisfied"
"564","060481206001","3 Somewhat satisfied"
"565","060481225001","3 Somewhat satisfied"
"566","060481225002","2 Very satisfied"
"567","060481229002","3 Somewhat satisfied"
"568","060481229001","3 Somewhat satisfied"
"569","060481215001","3 Somewhat satisfied"
"570","060481215002",NA
"571","060481204002","3 Somewhat satisfied"
"572","060481204001","2 Very satisfied"
"573","060440116001","3 Somewhat satisfied"
"574","060440124001","3 Somewhat satisfied"
"575","060440131001","3 Somewhat satisfied"
"576","060440131002","2 Very satisfied"
"577","060440109001","3 Somewhat satisfied"
"578","060440109002","2 Very satisfied"
"579","060440120002","1 Completely satisfied"
"580","060440106002","3 Somewhat satisfied"
"581","060440106001","2 Very satisfied"
"582","060440102001","2 Very satisfied"
"583","060440102002","2 Very satisfied"
"584","060440117002","3 Somewhat satisfied"
"585","060440117001","3 Somewhat satisfied"
"586","060440107002",NA
"587","060440107001","2 Very satisfied"
"588","060440110001","2 Very satisfied"
"589","060440110002","2 Very satisfied"
"590","060440105002","3 Somewhat satisfied"
"591","060440105003","4 Not very satisfied"
"592","060440133001","4 Not very satisfied"
"593","060440108001","2 Very satisfied"
"594","060440108002","2 Very satisfied"
"595","060440127001","4 Not very satisfied"
"596","060440112002","3 Somewhat satisfied"
"597","060440112001","5 Not at all satisfied"
"598","060440104001","4 Not very satisfied"
"599","060440104002","3 Somewhat satisfied"
"600","060440130001","3 Somewhat satisfied"
"601","060440130002","3 Somewhat satisfied"
"602","060440134002","2 Very satisfied"
"603","060440134001","2 Very satisfied"
"604","060440123001","1 Completely satisfied"
"605","060440123002","1 Completely satisfied"
"606","060440115001","2 Very satisfied"
"607","060440115002","4 Not very satisfied"
"608","060440129001","4 Not very satisfied"
"609","060440129002","3 Somewhat satisfied"
"610","060440126001","1 Completely satisfied"
"611","060440126002","5 Not at all satisfied"
"612","060440132001","4 Not very satisfied"
"613","060440132002","2 Very satisfied"
"614","060440113001","3 Somewhat satisfied"
"615","060440113002","3 Somewhat satisfied"
"616","060440121001","2 Very satisfied"
"617","060440121002","3 Somewhat satisfied"
"618","060440118001",NA
"619","060440122001","2 Very satisfied"
"620","060440122002","2 Very satisfied"
"621","060440114001",NA
"622","060440114002","3 Somewhat satisfied"
"623","060440128001","2 Very satisfied"
"624","060440128002","2 Very satisfied"
"625","060440111001","3 Somewhat satisfied"
"626","060440111002","4 Not very satisfied"
"627","060440125002","3 Somewhat satisfied"
"628","060440125001","2 Very satisfied"
"629","060440119002","1 Completely satisfied"
"630","060440119001","3 Somewhat satisfied"
"631","060440103002","3 Somewhat satisfied"
"632","060440103001","4 Not very satisfied"
"633","060440101001","3 Somewhat satisfied"
"634","060440212001","2 Very satisfied"
"635","060440212002","3 Somewhat satisfied"
"636","060440219001","3 Somewhat satisfied"
"637","060440219002","3 Somewhat satisfied"
"638","060440224002","4 Not very satisfied"
"639","060440224001","3 Somewhat satisfied"
"640","060440216001","4 Not very satisfied"
"641","060440216002","4 Not very satisfied"
"642","060440209002","3 Somewhat satisfied"
"643","060440209001","2 Very satisfied"
"644","060440204001","3 Somewhat satisfied"
"645","060440221002","3 Somewhat satisfied"
"646","060440221001","2 Very satisfied"
"647","060440201001","3 Somewhat satisfied"
"648","060440201002",NA
"649","060440205002","2 Very satisfied"
"650","060440205001","2 Very satisfied"
"651","060440222001","2 Very satisfied"
"652","060440222002",NA
"653","060440214001","3 Somewhat satisfied"
"654","060440214002","1 Completely satisfied"
"655","060440215001","3 Somewhat satisfied"
"656","060440215002","3 Somewhat satisfied"
"657","060440220001","3 Somewhat satisfied"
"658","060440220002","3 Somewhat satisfied"
"659","060440211001","2 Very satisfied"
"660","060440207002","1 Completely satisfied"
"661","060440207001","1 Completely satisfied"
"662","060440217001","3 Somewhat satisfied"
"663","060440217002","3 Somewhat satisfied"
"664","060440218001","3 Somewhat satisfied"
"665","060440218002","3 Somewhat satisfied"
"666","060440223002","3 Somewhat satisfied"
"667","060440223001","3 Somewhat satisfied"
"668","060440202001","3 Somewhat satisfied"
"669","060440202002","4 Not very satisfied"
"670","060440206001",NA
"671","060440206002","3 Somewhat satisfied"
"672","060440213001","3 Somewhat satisfied"
"673","060440213002","3 Somewhat satisfied"
"674","060440203002","3 Somewhat satisfied"
"675","060440203001","3 Somewhat satisfied"
"676","060440225002","2 Very satisfied"
"677","060440225001","3 Somewhat satisfied"
"678","060440324001","3 Somewhat satisfied"
"679","060440317001","3 Somewhat satisfied"
"680","060440306003","2 Very satisfied"
"681","060440306002","3 Somewhat satisfied"
"682","060440302002","3 Somewhat satisfied"
"683","060440302001","3 Somewhat satisfied"
"684","060440316001","3 Somewhat satisfied"
"685","060440316002","3 Somewhat satisfied"
"686","060440301002",NA
"687","060440301001",NA
"688","060440309002","3 Somewhat satisfied"
"689","060440309001","2 Very satisfied"
"690","060440305001","2 Very satisfied"
"691","060440310001","1 Completely satisfied"
"692","060440328001","1 Completely satisfied"
"693","060440328002","5 Not at all satisfied"
"694","060440320001","4 Not very satisfied"
"695","060440312002","3 Somewhat satisfied"
"696","060440312001",NA
"697","060440322002","3 Somewhat satisfied"
"698","060440322001",NA
"699","060440303001","3 Somewhat satisfied"
"700","060440315002",NA
"701","060440311002","3 Somewhat satisfied"
"702","060440311001","2 Very satisfied"
"703","060440318002","3 Somewhat satisfied"
"704","060440318001","3 Somewhat satisfied"
"705","060440314001","2 Very satisfied"
"706","060440314002",NA
"707","060440325001","2 Very satisfied"
"708","060440325002","1 Completely satisfied"
"709","060440327001","3 Somewhat satisfied"
"710","060440327002","3 Somewhat satisfied"
"711","060440307002","3 Somewhat satisfied"
"712","060440307001","2 Very satisfied"
"713","060440326001","3 Somewhat satisfied"
"714","060440323002","3 Somewhat satisfied"
"715","060440323001","2 Very satisfied"
"716","060440329002",NA
"717","060440329001","3 Somewhat satisfied"
"718","060440304001","3 Somewhat satisfied"
"719","060440330002","4 Not very satisfied"
"720","060440330001","1 Completely satisfied"
"721","060440308002","3 Somewhat satisfied"
"722","060440308001","3 Somewhat satisfied"
"723","060440319002","3 Somewhat satisfied"
"724","060440319001","3 Somewhat satisfied"
"725","060440313002","3 Somewhat satisfied"
"726","060440313001","3 Somewhat satisfied"
"727","060440321001","2 Very satisfied"
"728","060440321002","3 Somewhat satisfied"
"729","065546304001",NA
"730","065546332001","4 Not very satisfied"
"731","065546320002","3 Somewhat satisfied"
"732","065546320001","3 Somewhat satisfied"
"733","065546324002",NA
"734","065546324001","2 Very satisfied"
