"","ID","gender","zodiac","bornyear","age","residence_status","education_level","marital_status"
"45","094004301001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"46","094004301003","1 male","10 Rooster",1933,NA,"2 Non-agricultural Hukou","9 Four Year College / Bachelors degree","1 Married with spouse present"
"47","094004302002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"48","094004302001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"49","094004308001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"50","094004303001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"51","094004303002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"52","094004312001","1 male",NA,NA,NA,NA,NA,NA
"53","094004312002","2 female","2 Ox",1961,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"54","094004311002","1 male","9 Monkey",1968,NA,"2 Non-agricultural Hukou","10 Post-graduate, Masters degree","1 Married with spouse present"
"55","094004311001","2 female","10 Rooster",1969,NA,"2 Non-agricultural Hukou","8 Two/Three Year College / Associate degree","1 Married with spouse present"
"56","094004306002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"57","094004306001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"58","094004309001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"2 Married but not living with spouse temporarily for reasons such as work"
"59","094004219001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"60","094004219002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"61","094004220002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"62","094004220001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"63","094004210002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"64","094004210001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"65","094004215002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"66","094004215001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"67","094004217001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"68","094004201001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"69","094004201002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"70","094004209002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"71","094004209001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"72","094004213001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"73","094004213002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"74","094004208002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"75","094004208001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"76","094004223002","2 female","7 Horse",1942,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"77","094004223001","1 male","4 Rabbit",1939,NA,"2 Non-agricultural Hukou","9 Four Year College / Bachelors degree","1 Married with spouse present"
"78","094004214002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"79","094004214001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"80","094004216002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"81","094004216001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"82","094004204001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"83","094004204002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"84","094004212002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"85","094004212001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"86","094004222001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"87","094004206002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"88","094004206001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"89","194037216001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"90","194037216002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"91","194037217001","1 male",NA,1947,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"92","194037217002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"93","194037205001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"94","194037205002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"95","194037221002","1 male","2 Ox",1949,NA,"2 Non-agricultural Hukou","10 Post-graduate, Masters degree","1 Married with spouse present"
"96","194037221001","2 female","5 Dragon",1952,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"97","194037203001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"98","194037203002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"99","194037223002","1 male","9 Monkey",1944,NA,"2 Non-agricultural Hukou","8 Two/Three Year College / Associate degree","1 Married with spouse present"
"100","194037223001","2 female","9 Monkey",1944,NA,"2 Non-agricultural Hukou","7 Vocational school","1 Married with spouse present"
"101","194037222001","1 male","10 Rooster",1957,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"102","194037222002","2 female","1 Rat",1960,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"103","194037215002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"104","194037215001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"105","194037201001","1 male",NA,1934,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"106","194037219001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"107","194037219002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"108","194037214002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"109","194037214001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"110","194037206002","1 male",NA,1949,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"111","194037206001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"112","194037204001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"113","194037204002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"2 Married but not living with spouse temporarily for reasons such as work"
"114","194037220001","2 female","1 Rat",1960,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"115","194037220002","1 male","10 Rooster",1957,NA,"2 Non-agricultural Hukou","5 Middle school","1 Married with spouse present"
"116","194037211002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"117","194037211001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"118","194037212002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"119","194037212001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"120","194037333002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"121","194037333001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"122","194037342002","1 male","6 Snake",1965,NA,"2 Non-agricultural Hukou","8 Two/Three Year College / Associate degree","1 Married with spouse present"
"123","194037342001","2 female",NA,NA,NA,NA,NA,NA
"124","194037301002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"125","194037301001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"126","194037320001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"127","194037311002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"128","194037311001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"129","194037310001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"130","194037310002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"131","194037329001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"5 Widowed"
"132","194037316001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"133","194037316002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"134","194037314001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"135","194037314002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"136","194037323001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"5 Widowed"
"137","194037321002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"138","194037321001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"139","194037306001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"140","194037306002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"141","194037325002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"142","194037325001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"143","194037308001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"144","194037307001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"145","194037307002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"146","194037340001","2 female","6 Snake",1965,NA,"1 Agricultual Hukou","5 Middle school","1 Married with spouse present"
"147","194037326001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"148","194037326002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"149","194037328001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"5 Widowed"
"150","194037324001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"151","194037324002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"152","194037302002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"153","194037302001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"154","194037304001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"155","194037304002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"156","194037335002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"157","194037335001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"158","194037327002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"159","194037327001","2 female",NA,1953,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"160","194037330002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"161","194037330001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"162","194037336001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"163","194037336002","2 female",NA,NA,NA,NA,NA,"1 Married with spouse present"
"164","194037338001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"165","194037338002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"166","194037334001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"167","194037334002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"168","194037303001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"5 Widowed"
"169","194037331001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"5 Widowed"
"170","194037312001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"5 Widowed"
"171","194037305001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"4 Divorced"
"172","064028306002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"2 Married but not living with spouse temporarily for reasons such as work"
"173","064028306001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"2 Married but not living with spouse temporarily for reasons such as work"
"174","064028313002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"175","064028316002","2 female","9 Monkey",1968,NA,"2 Non-agricultural Hukou","5 Middle school","1 Married with spouse present"
"176","064028316001","1 male","11 Dog",1970,NA,"2 Non-agricultural Hukou","5 Middle school","1 Married with spouse present"
"177","064028307001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"178","064028315002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"179","064028315001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"180","064028314002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"2 Married but not living with spouse temporarily for reasons such as work"
"181","064028314001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"182","064028311001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"183","064028311002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"184","064028310001","1 male",NA,1934,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"185","064028308002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"186","064028308001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"187","064028305001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"4 Divorced"
"188","064028304001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"189","064028304002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"190","064028301001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"191","064028106001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"192","064028101002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"193","064028101001","1 male",NA,1939,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"194","064028108002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"195","064028102001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"196","064028121002","2 female","4 Rabbit",1963,NA,"2 Non-agricultural Hukou","5 Middle school","1 Married with spouse present"
"197","064028110003","1 male","11 Dog",1946,NA,"2 Non-agricultural Hukou","5 Middle school","1 Married with spouse present"
"198","064028110002","2 female",NA,1949,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"199","064028103002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"200","064028103001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"201","064028115002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"202","064028115001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"203","064028118002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"204","064028118001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"205","064028114002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"206","064028114001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"207","064028104001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"208","064028104002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"209","064028119001","1 male","4 Rabbit",1939,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"210","064028113002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"211","064028113001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"212","064028218002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"213","064028218001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"214","064028207002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"215","064028207001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"216","064028217001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"217","064028217002","1 male","10 Rooster",1958,NA,"2 Non-agricultural Hukou","5 Middle school","1 Married with spouse present"
"218","064028222002","1 male","4 Rabbit",1963,NA,"2 Non-agricultural Hukou","9 Four Year College / Bachelors degree","1 Married with spouse present"
"219","064028223001","1 male","9 Monkey",1968,NA,"2 Non-agricultural Hukou","9 Four Year College / Bachelors degree","1 Married with spouse present"
"220","064028223002","2 female",NA,NA,40,"2 Non-agricultural Hukou","9 Four Year College / Bachelors degree","1 Married with spouse present"
"221","064028203001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"222","064028203002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"223","064028221001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"224","064028221002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"225","064028220001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"4 Divorced"
"226","064028210001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"227","064028210002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"228","064028206001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"229","064028216001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"4 Divorced"
"230","064028209001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"231","064028209002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"232","064028219002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"233","064028219001","1 male",NA,1952,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"234","064028211001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"4 Divorced"
"235","064028201001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"236","064028214001","2 female",NA,1943,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"237","064028202001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"238","064033321001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"2 Married but not living with spouse temporarily for reasons such as work"
"239","064033321002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"2 Married but not living with spouse temporarily for reasons such as work"
"240","064033327001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"241","064033327002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"242","064033325001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"243","064033325002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"244","064033322001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"245","064033322002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"246","064033330002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"247","064033330001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"248","064033341001","1 male","8 Goat",1966,NA,"2 Non-agricultural Hukou","7 Vocational school","1 Married with spouse present"
"249","064033341002","2 female","9 Monkey",1967,NA,"1 Agricultual Hukou","2 Did not finish primary school but capable of reading or writing","1 Married with spouse present"
"250","064033324002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"251","064033324001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"252","064033306002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"253","064033306001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"254","064033301002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"255","064033301001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"256","064033331002","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"257","064033331001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"258","064033303001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"5 Widowed"
"259","064033340001","1 male","3 Tiger",1962,NA,"1 Agricultual Hukou","6 High school","1 Married with spouse present"
"260","064033340002","2 female","9 Monkey",1968,NA,"1 Agricultual Hukou","5 Middle school","1 Married with spouse present"
"261","064033336001","2 female","11 Dog",1946,NA,"1 Agricultual Hukou","2 Did not finish primary school but capable of reading or writing","5 Widowed"
"262","064033304002","1 male",NA,1952,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"263","064033304001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"264","064033337001","2 female","9 Monkey",1932,NA,"1 Agricultual Hukou","2 Did not finish primary school but capable of reading or writing","5 Widowed"
"265","064033326001","1 male",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"266","064033326002","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"267","064033320001","2 female","4 Rabbit",1939,NA,"1 Agricultual Hukou",NA,"5 Widowed"
"268","064033308001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"5 Widowed"
