"","ID","n_older_bro","n_younger_bro","n_older_sis","n_younger_sis","n_alive_children","child_residence_distance","child_location_type","child_occupation"
"53","194037205001",2,0,0,0,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City","3 Clerk"
"54","194037221002",0,2,1,2,2,"1 This Household, and Economicly Dependent",NA,"4 Commerical and Service worker"
"55","194037203001",3,2,1,1,1,"1 This Household, and Economicly Dependent",NA,NA
"56","194037223002",0,3,0,3,2,"3 Same or Adjacent Dwelling/Courtyard with You",NA,"1 Manager"
"57","194037222002",0,2,1,2,2,"1 This Household, and Economicly Dependent",NA,NA
"58","194037215002",0,2,0,1,2,"6 Other","1 City","2 Professional and Technician"
"59","194037201001",0,2,0,1,NA,"6 Other",NA,NA
"60","194037219001",0,1,1,0,1,"6 Other",NA,"6 Production and Transportation worker"
"61","194037214002",1,0,0,1,2,"3 Same or Adjacent Dwelling/Courtyard with You","1 City","3 Clerk"
"62","194037206001",0,3,0,0,2,"6 Other",NA,"6 Production and Transportation worker"
"63","194037204001",0,3,1,1,2,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"64","194037220001",3,1,2,0,2,"1 This Household, and Economicly Dependent",NA,NA
"65","194037211001",0,0,3,0,3,NA,NA,NA
"66","194037212001",NA,NA,NA,NA,1,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"67","194037333002",0,0,0,0,4,"6 Other","1 City","3 Clerk"
"68","194037342002",2,0,4,0,2,"1 This Household, and Economicly Dependent",NA,NA
"69","194037301001",0,0,0,0,4,"4 Another Household in Your Permanent Address's Village/Neighborhood","4 Village","6 Production and Transportation worker"
"70","194037320001",2,1,2,1,1,"1 This Household, and Economicly Dependent",NA,"3 Clerk"
"71","194037311002",1,0,1,0,1,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"2 Professional and Technician"
"72","194037310002",2,0,1,2,1,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"73","194037329001",0,3,0,1,NA,"2 This Household, but Economicly Independent","4 Village","6 Production and Transportation worker"
"74","194037316001",2,0,1,0,1,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,NA
"75","194037314002",3,0,0,0,1,"2 This Household, but Economicly Independent",NA,"6 Production and Transportation worker"
"76","194037323001",0,2,0,2,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,NA
"77","194037321001",1,1,0,1,4,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"6 Production and Transportation worker"
"78","194037306002",0,3,0,3,2,"1 This Household, and Economicly Dependent","3 Town","3 Clerk"
"79","194037325001",1,0,1,3,2,NA,"3 Town",NA
"80","194037308001",1,0,2,1,1,"6 Other",NA,"4 Commerical and Service worker"
"81","194037307002",1,0,0,0,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,NA
"82","194037340001",2,1,2,1,1,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"6 Production and Transportation worker"
"83","194037326002",0,2,0,3,3,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"84","194037328001",1,3,0,2,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","3 Town","4 Commerical and Service worker"
"85","194037324001",0,3,2,2,2,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"6 Production and Transportation worker"
"86","194037302002",0,2,3,0,1,"2 This Household, but Economicly Independent",NA,"4 Commerical and Service worker"
"87","194037304001",0,1,3,1,1,"1 This Household, and Economicly Dependent",NA,"6 Production and Transportation worker"
"88","194037335001",0,1,0,4,1,"2 This Household, but Economicly Independent",NA,"3 Clerk"
"89","194037327002",0,1,0,4,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","4 Village","1 Manager"
"90","194037330001",0,0,3,2,2,"4 Another Household in Your Permanent Address's Village/Neighborhood","3 Town",NA
"91","194037336001",0,0,0,1,6,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"4 Commerical and Service worker"
"92","194037338001",0,2,1,0,5,"3 Same or Adjacent Dwelling/Courtyard with You",NA,"2 Professional and Technician"
"93","194037334002",0,2,0,4,6,"1 This Household, and Economicly Dependent",NA,"6 Production and Transportation worker"
"94","194037303001",0,0,0,1,NA,"3 Same or Adjacent Dwelling/Courtyard with You",NA,"4 Commerical and Service worker"
"95","194037331001",0,0,0,1,NA,"2 This Household, but Economicly Independent",NA,"1 Manager"
"96","194037312001",2,0,0,3,NA,"1 This Household, and Economicly Dependent",NA,"4 Commerical and Service worker"
"97","194037305001",2,0,2,0,NA,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"6 Production and Transportation worker"
"98","064028306002",2,0,1,0,1,"2 This Household, but Economicly Independent",NA,"3 Clerk"
"99","064028313002",0,1,0,1,1,"1 This Household, and Economicly Dependent",NA,NA
"100","064028316002",2,0,1,0,2,"1 This Household, and Economicly Dependent",NA,NA
"101","064028307001",0,0,0,2,NA,"1 This Household, and Economicly Dependent",NA,"4 Commerical and Service worker"
"102","064028315002",0,0,1,1,3,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City","1 Manager"
"103","064028314001",0,2,0,3,3,"1 This Household, and Economicly Dependent","1 City",NA
"104","064028311001",0,0,1,1,1,"2 This Household, but Economicly Independent",NA,"1 Manager"
"105","064028310001",0,0,0,0,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","2 County",NA
"106","064028308002",0,3,0,1,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City","2 Professional and Technician"
"107","064028305001",0,1,2,0,NA,"2 This Household, but Economicly Independent",NA,NA
"108","064028304002",3,1,1,0,1,"2 This Household, but Economicly Independent",NA,"4 Commerical and Service worker"
"109","064028301001",0,0,0,0,NA,"4 Another Household in Your Permanent Address's Village/Neighborhood","1 City","2 Professional and Technician"
"110","064028106001",1,3,1,0,NA,"6 Other","1 City",NA
"111","064028101002",0,0,0,0,3,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City","2 Professional and Technician"
"112","064028108002",1,0,2,1,1,"2 This Household, but Economicly Independent",NA,"3 Clerk"
"113","064028102001",0,3,0,1,NA,"1 This Household, and Economicly Dependent",NA,"4 Commerical and Service worker"
"114","064028121002",0,1,3,0,1,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"6 Production and Transportation worker"
"115","064028110003",0,1,0,4,2,"1 This Household, and Economicly Dependent","1 City","4 Commerical and Service worker"
"116","064028103001",0,0,1,1,1,"6 Other",NA,"2 Professional and Technician"
"117","064028115002",1,0,0,0,2,"1 This Household, and Economicly Dependent","1 City","4 Commerical and Service worker"
"118","064028118002",0,2,0,2,2,"4 Another Household in Your Permanent Address's Village/Neighborhood","1 City","1 Manager"
"119","064028114002",0,3,0,2,1,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"2 Professional and Technician"
"120","064028104002",1,1,1,1,1,"1 This Household, and Economicly Dependent",NA,NA
"121","064028119001",0,0,0,0,3,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City","2 Professional and Technician"
"122","064028113002",2,1,1,0,1,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,NA
"123","064028218002",3,0,1,0,1,"1 This Household, and Economicly Dependent",NA,"3 Clerk"
"124","064028207002",0,2,0,1,1,"2 This Household, but Economicly Independent",NA,NA
"125","064028217001",3,0,0,0,1,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"126","064028222002",0,2,0,0,1,"7 Abroad",NA,NA
"127","064028223001",1,0,2,0,1,"2 This Household, but Economicly Independent",NA,NA
"128","064028203002",1,0,3,0,1,"6 Other",NA,"2 Professional and Technician"
"129","064028221001",0,1,1,1,1,"1 This Household, and Economicly Dependent",NA,NA
"130","064028220001",0,1,1,1,NA,NA,"1 City",NA
"131","064028210001",0,1,5,0,0,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City",NA
"132","064028206001",0,1,0,2,NA,"1 This Household, and Economicly Dependent",NA,NA
"133","064028216001",2,0,3,2,NA,"2 This Household, but Economicly Independent",NA,"6 Production and Transportation worker"
"134","064028209001",0,0,0,0,3,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"135","064028219002",1,1,0,1,1,"6 Other",NA,"2 Professional and Technician"
"136","064028211001",0,2,0,2,NA,NA,NA,"1 Manager"
"137","064028201001",1,0,2,0,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City",NA
"138","064028214001",0,2,0,2,NA,"2 This Household, but Economicly Independent","1 City","6 Production and Transportation worker"
"139","064028202001",0,0,0,0,NA,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,NA
"140","064033321001",0,1,2,0,3,"6 Other",NA,"4 Commerical and Service worker"
"141","064033327001",2,0,1,1,2,"2 This Household, but Economicly Independent","3 Town","4 Commerical and Service worker"
"142","064033325001",0,1,1,0,2,"2 This Household, but Economicly Independent","4 Village","2 Professional and Technician"
"143","064033322001",0,1,1,0,2,NA,NA,NA
"144","064033330002",1,0,0,0,2,NA,NA,"3 Clerk"
"145","064033341001",1,0,1,1,2,NA,NA,"2 Professional and Technician"
"146","064033324002",0,1,0,3,2,"1 This Household, and Economicly Dependent","4 Village","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"147","064033306001",0,2,0,0,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,NA
"148","064033301002",0,0,0,0,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City","1 Manager"
"149","064033331001",2,1,0,0,1,"1 This Household, and Economicly Dependent",NA,"4 Commerical and Service worker"
"150","064033303001",0,1,0,0,NA,"2 This Household, but Economicly Independent",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"151","064033340001",1,0,2,0,2,"1 This Household, and Economicly Dependent",NA,NA
"152","064033336001",0,2,0,3,NA,NA,NA,NA
"153","064033304002",0,0,0,0,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,NA
"154","064033337001",0,0,0,0,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"155","064033326001",0,0,2,0,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","2 County","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"156","064033320001",0,1,1,0,NA,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"6 Production and Transportation worker"
"157","064033308001",1,0,1,1,NA,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"158","064033334001",0,0,0,0,NA,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"159","064033319002",0,1,1,1,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"1 Manager"
"160","064033313001",0,2,0,0,2,NA,"3 Town",NA
"161","064033316002",0,1,1,0,NA,"1 This Household, and Economicly Dependent",NA,"6 Production and Transportation worker"
"162","064033335002",0,0,0,0,2,"1 This Household, and Economicly Dependent","4 Village","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"163","064033314002",1,0,0,2,2,NA,"4 Village",NA
"164","064033315001",0,0,0,0,NA,NA,NA,NA
"165","064033318002",1,0,3,0,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","4 Village","6 Production and Transportation worker"
"166","064033328001",1,2,0,0,2,"2 This Household, but Economicly Independent",NA,"6 Production and Transportation worker"
"167","064033338002",0,0,0,2,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","2 County","4 Commerical and Service worker"
"168","064033317001",0,0,0,0,NA,"2 This Household, but Economicly Independent","3 Town","6 Production and Transportation worker"
"169","064033323001",0,0,0,0,NA,"2 This Household, but Economicly Independent","4 Village","4 Commerical and Service worker"
"170","064033339001",1,0,0,1,NA,NA,NA,NA
"171","064033302001",0,0,0,0,0,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"172","064033309002",0,1,0,2,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City","6 Production and Transportation worker"
"173","064033329002",0,1,0,1,1,NA,"4 Village",NA
"174","064033312001",1,0,0,2,2,NA,NA,NA
"175","064033311001",2,0,0,1,1,"1 This Household, and Economicly Dependent",NA,NA
"176","064033332001",1,0,2,0,2,"6 Other",NA,"6 Production and Transportation worker"
"177","064033310001",1,0,0,0,2,NA,NA,NA
"178","064033221002",0,3,0,1,3,"2 This Household, but Economicly Independent","4 Village","6 Production and Transportation worker"
"179","064033207002",0,0,0,1,2,"6 Other",NA,"6 Production and Transportation worker"
"180","064033223001",0,1,0,0,2,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"6 Production and Transportation worker"
"181","064033212002",0,2,0,0,2,NA,NA,NA
"182","064033219002",0,0,0,2,2,"2 This Household, but Economicly Independent",NA,"4 Commerical and Service worker"
"183","064033215001",1,1,1,0,NA,NA,NA,NA
"184","064033225001",1,0,1,1,NA,NA,NA,NA
"185","064033213001",2,1,0,1,3,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"4 Commerical and Service worker"
"186","064033232002",1,2,2,0,2,"1 This Household, and Economicly Dependent",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"187","064033201002",0,0,0,1,2,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,NA
"188","064033208001",0,0,1,0,2,"2 This Household, but Economicly Independent",NA,"4 Commerical and Service worker"
"189","064033230001",1,0,2,0,NA,NA,NA,NA
"190","064033203001",0,0,0,0,NA,"2 This Household, but Economicly Independent","2 County",NA
"191","064033209002",2,0,2,0,3,"2 This Household, but Economicly Independent",NA,"6 Production and Transportation worker"
"192","064033206001",0,2,1,2,NA,NA,"3 Town",NA
"193","064033226001",0,2,0,1,4,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"194","064033220001",1,0,0,2,2,"2 This Household, but Economicly Independent",NA,"4 Commerical and Service worker"
"195","064033210002",0,1,0,1,2,"6 Other",NA,NA
"196","064033228001",1,1,1,2,2,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"4 Commerical and Service worker"
"197","064033217001",1,2,1,0,1,"2 This Household, but Economicly Independent",NA,"4 Commerical and Service worker"
"198","064033231002",0,1,1,0,4,"2 This Household, but Economicly Independent",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"199","064033211002",0,2,0,0,3,"2 This Household, but Economicly Independent",NA,NA
"200","064033224002",0,3,0,1,3,"3 Same or Adjacent Dwelling/Courtyard with You",NA,"4 Commerical and Service worker"
"201","064033227001",0,1,0,0,NA,"2 This Household, but Economicly Independent",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"202","064033216001",2,1,0,1,3,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"6 Production and Transportation worker"
"203","064033229001",0,0,0,1,3,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"4 Commerical and Service worker"
"204","064033202001",0,0,0,0,NA,NA,NA,NA
"205","064033218001",1,0,0,0,2,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"206","064033222002",0,0,0,1,3,"2 This Household, but Economicly Independent",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"207","064033204001",0,2,0,1,2,"1 This Household, and Economicly Dependent","4 Village","6 Production and Transportation worker"
"208","064033103001",0,2,0,0,NA,"2 This Household, but Economicly Independent",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"209","064033121001",0,2,0,0,NA,"6 Other","4 Village","3 Clerk"
"210","064033110001",1,1,0,0,NA,"4 Another Household in Your Permanent Address's Village/Neighborhood","4 Village","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"211","064033127001",0,2,1,2,1,"6 Other",NA,"2 Professional and Technician"
"212","064033120002",0,2,0,0,2,"2 This Household, but Economicly Independent",NA,"3 Clerk"
"213","064033123002",2,0,2,0,4,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","4 Village","2 Professional and Technician"
"214","064033130001",1,0,2,0,1,"1 This Household, and Economicly Dependent","4 Village",NA
"215","064033119001",0,2,0,0,0,"2 This Household, but Economicly Independent",NA,"6 Production and Transportation worker"
"216","064033128001",1,0,1,1,NA,"1 This Household, and Economicly Dependent",NA,NA
"217","064033117002",0,1,0,2,3,"2 This Household, but Economicly Independent","4 Village","1 Manager"
"218","064033106001",0,1,0,0,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"219","064033116001",1,1,1,0,4,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"220","064033101001",1,1,1,1,NA,"6 Other",NA,"6 Production and Transportation worker"
"221","064033124002",0,2,1,1,2,"2 This Household, but Economicly Independent","4 Village","4 Commerical and Service worker"
"222","064033129001",0,2,0,1,NA,"1 This Household, and Economicly Dependent",NA,NA
"223","064033102002",NA,NA,NA,NA,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"224","064033111001",0,1,0,0,2,"2 This Household, but Economicly Independent","4 Village","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"225","064033125001",1,1,0,1,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"6 Production and Transportation worker"
"226","064033126001",NA,NA,NA,NA,3,"2 This Household, but Economicly Independent","4 Village",NA
"227","064033114002",NA,NA,NA,NA,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"1 Manager"
"228","064033113002",0,3,0,2,2,"2 This Household, but Economicly Independent","4 Village","2 Professional and Technician"
"229","064033118001",0,0,0,0,NA,"2 This Household, but Economicly Independent",NA,"6 Production and Transportation worker"
"230","064033112002",3,0,0,0,2,"2 This Household, but Economicly Independent",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"231","064033131001",2,0,1,0,3,"1 This Household, and Economicly Dependent",NA,NA
"232","064033115001",0,0,2,0,2,"6 Other","4 Village","2 Professional and Technician"
"233","064033104002",0,0,0,4,4,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","4 Village","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"234","064033105002",0,1,1,0,2,"2 This Household, but Economicly Independent","4 Village","4 Commerical and Service worker"
"235","064033107002",2,0,0,0,1,"2 This Household, but Economicly Independent",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"236","060481308002",0,0,2,2,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","4 Village","4 Commerical and Service worker"
"237","060481310002",1,0,0,0,3,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","4 Village","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"238","060481301001",0,0,0,0,3,"6 Other",NA,NA
"239","060481312001",2,1,3,0,2,"1 This Household, and Economicly Dependent","1 City",NA
"240","060481322001",2,0,1,0,3,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"6 Production and Transportation worker"
"241","060481303001",0,3,0,2,2,"3 Same or Adjacent Dwelling/Courtyard with You",NA,"4 Commerical and Service worker"
"242","060481325001",1,0,0,2,NA,"6 Other",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"243","060481309003",0,0,0,0,5,NA,NA,NA
"244","060481306002",3,0,1,1,2,"6 Other","1 City","2 Professional and Technician"
"245","060481307002",0,0,1,0,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","4 Village",NA
"246","060481315001",0,2,0,3,NA,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"2 Professional and Technician"
"247","060481320002",3,1,1,1,3,"1 This Household, and Economicly Dependent",NA,"4 Commerical and Service worker"
"248","060481302001",1,0,3,0,NA,"1 This Household, and Economicly Dependent",NA,"6 Production and Transportation worker"
"249","060481314001",0,1,0,0,NA,"2 This Household, but Economicly Independent","2 County","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"250","060481313001",1,1,0,1,2,"2 This Household, but Economicly Independent",NA,"6 Production and Transportation worker"
"251","060481316001",0,2,0,3,4,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","4 Village","6 Production and Transportation worker"
"252","060481318001",0,0,0,0,NA,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"6 Production and Transportation worker"
"253","060481323001",0,0,0,1,NA,NA,NA,NA
"254","060481317001",3,0,2,1,5,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"255","060481321001",1,1,0,1,2,"4 Another Household in Your Permanent Address's Village/Neighborhood","4 Village","6 Production and Transportation worker"
"256","060481305001",0,3,0,2,4,"6 Other","1 City",NA
"257","060481304002",2,2,2,0,2,"2 This Household, but Economicly Independent",NA,"6 Production and Transportation worker"
"258","060481319001",1,0,0,0,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","2 County","1 Manager"
"259","060481311001",0,2,0,2,3,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"260","060481324002",0,0,1,0,3,"4 Another Household in Your Permanent Address's Village/Neighborhood","4 Village","6 Production and Transportation worker"
"261","060481132002",1,2,0,1,2,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"6 Production and Transportation worker"
"262","060481102001",0,2,2,0,4,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"5 Agricultural, Forestry, Husbandry and Fishery Producer"
"263","060481136001",0,1,0,2,NA,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"264","060481118001",0,0,1,0,NA,"2 This Household, but Economicly Independent","1 City","2 Professional and Technician"
"265","060481109002",0,2,0,1,2,"4 Another Household in Your Permanent Address's Village/Neighborhood","4 Village","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"266","060481111001",0,0,1,1,2,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"3 Clerk"
"267","060481101001",0,2,2,0,4,"4 Another Household in Your Permanent Address's Village/Neighborhood","1 City","2 Professional and Technician"
"268","060481125002",0,0,1,0,3,"3 Same or Adjacent Dwelling/Courtyard with You",NA,"6 Production and Transportation worker"
"269","060481107002",0,0,1,3,2,"4 Another Household in Your Permanent Address's Village/Neighborhood","4 Village","6 Production and Transportation worker"
"270","060481114001",0,0,0,1,3,"4 Another Household in Your Permanent Address's Village/Neighborhood",NA,"6 Production and Transportation worker"
"271","060481128001",1,1,0,2,2,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
